workerid,workerid,seclang,gender,age,race,region,regionComments,speaker,sentence,content,intonation,verification,followupchoice,certainty,comment1
A3BMEBBDIHI6DU,,,gen=1,age=5,eth=3,Mid west,,bec,S1UM,menu,HLL,Read the menu,response=1,63,
A3BMEBBDIHI6DU,,,gen=1,age=5,eth=3,Mid west,,kev,filler,operation,until,Only three people knew the truth until the operation was underway,response=1,70,
A3BMEBBDIHI6DU,,,gen=1,age=5,eth=3,Mid west,,zio,S1UM,coffee,LHL,Put some creamer in your coffee,response=1,83,
A2S96ZZ70YFPSK,,,gen=1,age=3,eth=3,Alabama,,chr,S1UM,calm,HLL,Be calm.,response=1,94,
A2S96ZZ70YFPSK,,,gen=1,age=3,eth=3,Alabama,,kev,S1UM,dog,HLL,Take the dog for a walk.,response=1,100,
A2S96ZZ70YFPSK,,,gen=1,age=3,eth=3,Alabama,,kev,S1UM,home,LHL,Stay at home.,response=2,83,
A2S96ZZ70YFPSK,,,gen=1,age=3,eth=3,Alabama,,zio,S1UM,apple,LHL,Use an apple corer.,response=2,77,
A2S96ZZ70YFPSK,,,gen=1,age=3,eth=3,Alabama,,zio,S1UM,right,LHL,Go right.,response=1,66,
A2S96ZZ70YFPSK,,,gen=1,age=3,eth=3,Alabama,,bec,S1UM,call,HLL,Call your mom.,response=2,95,
A2S96ZZ70YFPSK,,,gen=1,age=3,eth=3,Alabama,,kev,filler,operation,until,Only three people knew the truth until the operation was underway.,response=1,87,
A2S96ZZ70YFPSK,,,gen=1,age=3,eth=3,Alabama,,sara,filler,conference,before,I managed to solicit money from many people before the contest started.,response=2,93,
A2BTDUJFLSBN8E,,,gen=2,age=2,eth=3,South East Coast,,bec,S1UM,menu,HLL,Read the menu.,response=1,75,
A2BTDUJFLSBN8E,,,gen=2,age=2,eth=3,South East Coast,,sara,filler,conference,before,I managed to solicit money from many people before the conference started.,response=2,70,
A2BTDUJFLSBN8E,,,gen=2,age=2,eth=3,South East Coast,,chr,S1UM,email,HLL,Send her an email.,response=1,80,
A2BTDUJFLSBN8E,,,gen=2,age=2,eth=3,South East Coast,,kev,filler,operation,until,Only three people knew the truth until the operation was underway.,response=1,65,
A2BTDUJFLSBN8E,,,gen=2,age=2,eth=3,South East Coast,,zio,S1UM,coffee,LHL,Put some creamer in your coffee.,response=1,100,
A2BTDUJFLSBN8E,,,gen=2,age=2,eth=3,South East Coast,,kev,S1UM,window,LHL,Open the window.,response=1,100,
A2BTDUJFLSBN8E,,,gen=2,age=2,eth=3,South East Coast,,zio,S1UM,cookie,LHL,Have a cookie.,response=1,80,
A2BTDUJFLSBN8E,,,gen=2,age=2,eth=3,South East Coast,,kev,S1UM,left,HLL,Turn left.,response=1,100,
A308FEI88TJ8WV,,,gen=1,age=5,eth=3,South,,bec,S1UM,left,LHL,Turn left.,response=1,95,
A308FEI88TJ8WV,,,gen=1,age=5,eth=3,South,,chr,S1UM,email,LHL,Sent her an email,response=1,83,
A308FEI88TJ8WV,,,gen=1,age=5,eth=3,South,,chr,S1UM,cookie,HLL,Have a cookie.,response=1,96,
A308FEI88TJ8WV,,,gen=1,age=5,eth=3,South,,chr,filler,register,before,Many students registered for the class before the class requirements were posted,response=1,71,
A308FEI88TJ8WV,,,gen=1,age=5,eth=3,South,,bec,S1UM,menu,LHL,Read the menu,response=1,95,
A308FEI88TJ8WV,,,gen=1,age=5,eth=3,South,,bec,S1UM,window,HLL,Open the window,response=1,78,
A308FEI88TJ8WV,,,gen=1,age=5,eth=3,South,,sara,filler,border,until,Few people managed to leave until the country closed it's borders.,response=2,94,
A308FEI88TJ8WV,,,gen=1,age=5,eth=3,South,,chr,S1UM,coffee,HLL,Put some creamer in your coffee.,response=1,97,
A35CRYBHUZZZHO,No,,gen=1,age=1,eth=4,Midwest,No,sara,filler,operation,before,Only three people knew the truth before the operation was underway.,response=1,96,N/A
A35CRYBHUZZZHO,No,,gen=1,age=1,eth=4,Midwest,No,kev,S1UM,call,HLL,Call your mom.,response=2,40,N/A
A35CRYBHUZZZHO,No,,gen=1,age=1,eth=4,Midwest,No,chr,S1UM,right,LHL,Go right.,response=1,45,N/A
A35CRYBHUZZZHO,No,,gen=1,age=1,eth=4,Midwest,No,chr,S1UM,apple,LHL,Use an apple corer.,response=1,78,N/A
A35CRYBHUZZZHO,No,,gen=1,age=1,eth=4,Midwest,No,bec,S1UM,dog,HLL,Take the dog for a walk.,response=1,85,N/A
A35CRYBHUZZZHO,No,,gen=1,age=1,eth=4,Midwest,No,zio,S1UM,calm,HLL,Be calm.,response=1,64,N/A
A35CRYBHUZZZHO,No,,gen=1,age=1,eth=4,Midwest,No,bec,S1UM,home,LHL,Stay home.,response=2,53,N/A
A35CRYBHUZZZHO,No,,gen=1,age=1,eth=4,Midwest,No,chr,filler,conference,until,I managed to solicit money from many people until the conference started.,response=2,36,N/A
AL7UTA8J27TFK,no,,gen=2,age=5,eth=3,Racine Wisconsin,no,kev,S1UM,menu,LHL,read the menu,response=1,100,
AL7UTA8J27TFK,no,,gen=2,age=5,eth=3,Racine Wisconsin,no,zio,S1UM,email,LHL,sent her an email,response=1,100,
AL7UTA8J27TFK,no,,gen=2,age=5,eth=3,Racine Wisconsin,no,sara,filler,register,until,many students register for the class until the class requirements are posted,response=2,70,
AL7UTA8J27TFK,no,,gen=2,age=5,eth=3,Racine Wisconsin,no,zio,S1UM,coffee,HLL,put some creamer in your coffee,response=1,100,
AL7UTA8J27TFK,no,,gen=2,age=5,eth=3,Racine Wisconsin,no,zio,S1UM,cookie,HLL,have a cookie,response=1,100,
AL7UTA8J27TFK,no,,gen=2,age=5,eth=3,Racine Wisconsin,no,kev,S1UM,left,LHL,turn left,response=1,90,
AL7UTA8J27TFK,no,,gen=2,age=5,eth=3,Racine Wisconsin,no,kev,filler,border,before,few people managed to leave before the country closed its border,response=2,100,
AL7UTA8J27TFK,no,,gen=2,age=5,eth=3,Racine Wisconsin,no,kev,S1UM,window,HLL,open the window,response=1,100,
A2V995T3ER2ACH,No thank you,,gen=1,age=2,eth=3,West,No thank you,kev,S1UM,dog,HLL,Take the dog for a walk. ,response=1,97,
A2V995T3ER2ACH,No thank you,,gen=1,age=2,eth=3,West,No thank you,kev,filler,operation,until,Only three people knew the truth until the operation was underway. ,response=1,37,
A2V995T3ER2ACH,No thank you,,gen=1,age=2,eth=3,West,No thank you,sara,filler,conference,before,I managed to solicit money from many people before the conference started.,response=2,30,
A2V995T3ER2ACH,No thank you,,gen=1,age=2,eth=3,West,No thank you,zio,S1UM,apple,LHL,Use an apple corer,response=1,64,
A2V995T3ER2ACH,No thank you,,gen=1,age=2,eth=3,West,No thank you,chr,S1UM,calm,HLL,Be calm,response=1,85,
A2V995T3ER2ACH,No thank you,,gen=1,age=2,eth=3,West,No thank you,zio,S1UM,right,LHL,Go right,response=1,74,
A2V995T3ER2ACH,No thank you,,gen=1,age=2,eth=3,West,No thank you,bec,S1UM,call,HLL,Call your mom ,response=2,47,
A2V995T3ER2ACH,No thank you,,gen=1,age=2,eth=3,West,No thank you,kev,S1UM,home,LHL,Stay home,response=2,45,
A3L0DCUXI7X3A9,no problems,,gen=2,age=3,eth=3,northeast,no problems,zio,S1UM,cookie,HLL,have a cookie,response=1,80,
A3L0DCUXI7X3A9,no problems,,gen=2,age=3,eth=3,northeast,no problems,kev,S1UM,menu,LHL,read the menu,response=1,79,
A3L0DCUXI7X3A9,no problems,,gen=2,age=3,eth=3,northeast,no problems,zio,S1UM,email,LHL,send her an email,response=1,82,
A3L0DCUXI7X3A9,no problems,,gen=2,age=3,eth=3,northeast,no problems,zio,S1UM,coffee,HLL,put some creamer in your coffee,response=1,83,
A3L0DCUXI7X3A9,no problems,,gen=2,age=3,eth=3,northeast,no problems,sara,filler,register,until,many students register for the class until the class requirements are posted,response=2,61,
A3L0DCUXI7X3A9,no problems,,gen=2,age=3,eth=3,northeast,no problems,kev,S1UM,left,LHL,turn left,response=1,80,
A3L0DCUXI7X3A9,no problems,,gen=2,age=3,eth=3,northeast,no problems,kev,filler,border,before,few people managed to leave before the country closed it's border,response=2,61,
A3L0DCUXI7X3A9,no problems,,gen=2,age=3,eth=3,northeast,no problems,kev,S1UM,window,HLL,open the window,response=1,81,
A2LI0QVPKA5CG8,,,gen=1,age=3,eth=3,South,,kev,S1UM,window,HLL,Open the window,response=1,75,
A2LI0QVPKA5CG8,,,gen=1,age=3,eth=3,South,,kev,S1UM,menu,LHL,Read the menu,response=1,80,
A2LI0QVPKA5CG8,,,gen=1,age=3,eth=3,South,,zio,S1UM,coffee,HLL,Put some creamer in your coffee,response=2,100,
A2LI0QVPKA5CG8,,,gen=1,age=3,eth=3,South,,zio,S1UM,cookie,HLL,Have a cookie,response=1,100,
A2LI0QVPKA5CG8,,,gen=1,age=3,eth=3,South,,sara,filler,register,until,Many students registered for the class until the class requirements were posted.,response=1,100,
A2LI0QVPKA5CG8,,,gen=1,age=3,eth=3,South,,kev,S1UM,left,LHL,Turn left,response=1,100,
A2LI0QVPKA5CG8,,,gen=1,age=3,eth=3,South,,zio,S1UM,email,LHL,Send her an email,response=1,100,
A2LI0QVPKA5CG8,,,gen=1,age=3,eth=3,South,,kev,filler,border,before,Few people managed to leave before the country closed it's border.,response=2,100,
A3HYLVFUDKJFKC,no,,gen=2,age=5,eth=3,NJ,no,bec,S1UM,home,LHL,stay home,response=1,100,
A3HYLVFUDKJFKC,no,,gen=2,age=5,eth=3,NJ,no,chr,filler,conference,until,I managed to solicit money until the cobnference started,response=2,100,
A3HYLVFUDKJFKC,no,,gen=2,age=5,eth=3,NJ,no,chr,S1UM,right,LHL,go right,response=1,100,
A3HYLVFUDKJFKC,no,,gen=2,age=5,eth=3,NJ,no,zio,S1UM,calm,HLL,be calm,response=1,100,
A3HYLVFUDKJFKC,no,,gen=2,age=5,eth=3,NJ,no,bec,S1UM,dog,HLL,take the dog ofr a walk,response=1,100,
A3HYLVFUDKJFKC,no,,gen=2,age=5,eth=3,NJ,no,chr,S1UM,apple,LHL,use an apple corer,response=1,100,
A3HYLVFUDKJFKC,no,,gen=2,age=5,eth=3,NJ,no,kev,S1UM,call,HLL,call your mom,response=1,100,
A3HYLVFUDKJFKC,no,,gen=2,age=5,eth=3,NJ,no,sara,filler,operation,before,only three people knew the truth until the opersatiionm was under way,response=1,100,
A3T9C1USL4V4IJ,,,gen=2,age=2,eth=3,Northeast,,kev,filler,border,before,Few people managed to leave before the country closed it's border,response=2,76,
A3T9C1USL4V4IJ,,,gen=2,age=2,eth=3,Northeast,,kev,S1UM,menu,LHL,Read the menu,response=2,89,
A3T9C1USL4V4IJ,,,gen=2,age=2,eth=3,Northeast,,zio,S1UM,cookie,HLL,Have a cookie,response=1,88,
A3T9C1USL4V4IJ,,,gen=2,age=2,eth=3,Northeast,,kev,S1UM,window,HLL,open the window,response=1,82,
A3T9C1USL4V4IJ,,,gen=2,age=2,eth=3,Northeast,,kev,S1UM,left,LHL,Turn left,response=1,70,
A3T9C1USL4V4IJ,,,gen=2,age=2,eth=3,Northeast,,zio,S1UM,coffee,HLL,put some creamer in your coffee,response=1,85,
A3T9C1USL4V4IJ,,,gen=2,age=2,eth=3,Northeast,,sara,filler,register,until,many students register for the class until the class requires you post it,response=1,38,
A3T9C1USL4V4IJ,,,gen=2,age=2,eth=3,Northeast,,zio,S1UM,email,LHL,send her an email,response=1,61,
A1L6RXQRP7DTZ9,,,gen=1,age=1,eth=3,south,,bec,S1UM,window,LHL,open the window,response=2,31,
A1L6RXQRP7DTZ9,,,gen=1,age=1,eth=3,south,,sara,filler,operation,before,only 3 people knew the truth before the operation was underway,response=1,64,
A1L6RXQRP7DTZ9,,,gen=1,age=1,eth=3,south,,chr,S1UM,cookie,LHL,have a cookie,response=2,63,
A1L6RXQRP7DTZ9,,,gen=1,age=1,eth=3,south,,chr,S1UM,coffee,LHL,put some creamer in your coffee,response=1,62,
A1L6RXQRP7DTZ9,,,gen=1,age=1,eth=3,south,,bec,S1UM,left,HLL,turn left,response=1,76,
A1L6RXQRP7DTZ9,,,gen=1,age=1,eth=3,south,,kev,S1UM,menu,HLL,read the menu,response=1,71,
A1L6RXQRP7DTZ9,,,gen=1,age=1,eth=3,south,,chr,filler,conference,until,I manage to soliciate money from many people until the conference started,response=2,42,
A1L6RXQRP7DTZ9,,,gen=1,age=1,eth=3,south,,zio,S1UM,email,HLL,send her an email,response=1,64,
AA5ZDXAA2DLY1,,,gen=1,age=2,eth=1,Connecticut,,chr,S1UM,right,HLL,Go Right.,response=1,100,
