workerid,gender,age,race,region,regionComments,speaker,sentence,content,intonation,etype,verification,followupchoice,certainty,comment1
A1SNC8UL8YFRH5,gen=2,age=1,eth=3,Maryland,"	",bec,S1UM,potato,LHL,ED,Use a potato peeler,response=2,65,
A1SNC8UL8YFRH5,gen=2,age=1,eth=3,Maryland,"	",zio,filler,bring,npipnq,wk,Didn't Manny bring anything at all?,response=1,80,
A1SNC8UL8YFRH5,gen=2,age=1,eth=3,Maryland,"	",kev,S1UM,call,HLL,ED,Call your mom,response=2,75,
A1SNC8UL8YFRH5,gen=2,age=1,eth=3,Maryland,"	",zio,S1UM,email,HLL,EI,Send her an e-mail,response=1,70,
A1SNC8UL8YFRH5,gen=2,age=1,eth=3,Maryland,"	",kev,S1UM,home,LHL,EI,Stay home,response=2,90,
A1SNC8UL8YFRH5,gen=2,age=1,eth=3,Maryland,"	",kev,filler,help,npiq,str,Did Maria lift a finger to help?,response=2,65,
A1SNC8UL8YFRH5,gen=2,age=1,eth=3,Maryland,"	",kev,S1UM,dog,HLL,ED,Take the dog for a walk,response=1,80,
A1SNC8UL8YFRH5,gen=2,age=1,eth=3,Maryland,"	",zio,S1UM,right,LHL,EI,Go right,response=2,30,
AC7Z8O1RETQC4,gen=1,age=1,eth=3,texas,"none	",bec,S1UM,window,LHL,EI,open the window,response=2,71,
AC7Z8O1RETQC4,gen=1,age=1,eth=3,texas,"none	",kev,S1UM,left,HLL,ED,turn,response=2,68,
AC7Z8O1RETQC4,gen=1,age=1,eth=3,texas,"none	",zio,filler,bring,pnq,wk,bring something,response=1,65,
AC7Z8O1RETQC4,gen=1,age=1,eth=3,texas,"none	",zio,S1UM,coffee,LHL,ED,drink a cofee,response=1,62,
AC7Z8O1RETQC4,gen=1,age=1,eth=3,texas,"none	",bec,S1UM,lemonade,LHL,EI,have a lemonade,response=1,65,
AC7Z8O1RETQC4,gen=1,age=1,eth=3,texas,"none	",kev,S1UM,menu,HLL,ED,with man you,response=1,59,
AC7Z8O1RETQC4,gen=1,age=1,eth=3,texas,"none	",chr,S1UM,calm,HLL,EI,be calm,response=1,68,
AC7Z8O1RETQC4,gen=1,age=1,eth=3,texas,"none	",kev,filler,help,npipnq,str,finger,response=2,54,
AYYBMS4XQJ9AP,gen=1,age=2,eth=3,northeast,"	",bec,S1UM,lemonade,LHL,EI,Have a lemonade,response=2,100,
AYYBMS4XQJ9AP,gen=1,age=2,eth=3,northeast,"	",kev,filler,help,npipnq,str,Didn't Maria lift a finger to help?,response=2,74,
AYYBMS4XQJ9AP,gen=1,age=2,eth=3,northeast,"	",kev,S1UM,menu,HLL,ED,Read the menu.,response=1,100,
AYYBMS4XQJ9AP,gen=1,age=2,eth=3,northeast,"	",zio,S1UM,coffee,LHL,ED,Put some creamer in your coffee,response=1,100,
AYYBMS4XQJ9AP,gen=1,age=2,eth=3,northeast,"	",zio,filler,bring,pnq,wk,Didn't Manny bring something?,response=1,75,
AYYBMS4XQJ9AP,gen=1,age=2,eth=3,northeast,"	",kev,S1UM,left,HLL,ED,Turn left.,response=1,98,
AYYBMS4XQJ9AP,gen=1,age=2,eth=3,northeast,"	",chr,S1UM,calm,HLL,EI,Be calm.,response=1,97,
AYYBMS4XQJ9AP,gen=1,age=2,eth=3,northeast,"	",bec,S1UM,window,LHL,EI,Open the window.,response=2,80,
A1VNJOS2LHSOZL,gen=1,age=2,eth=3,texas,"good	",kev,S1UM,menu,HLL,ED,read the menu,response=2,75,good
A1VNJOS2LHSOZL,gen=1,age=2,eth=3,texas,"good	",bec,S1UM,window,LHL,EI,open the window,response=2,65,good
A1VNJOS2LHSOZL,gen=1,age=2,eth=3,texas,"good	",zio,S1UM,coffee,LHL,ED,put some cream in my coffee,response=2,88,good
A1VNJOS2LHSOZL,gen=1,age=2,eth=3,texas,"good	",bec,S1UM,lemonade,LHL,EI,have a lemonade,response=2,33,good
